Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
ANANDRATHI,Anand Rathi Wealth Limited,"15,45,283.69"
NAVINFLUOR,Navin Fluorine International Limited,"15,43,327.49"
JWL,Jupiter Wagons Limited,"15,42,596.60"
APTUS,Aptus Value Housing Finance India Limited,"15,42,423.55"
FINCABLES,Finolex Cables Limited,"15,30,922.84"
FINPIPE,Finolex Industries Limited,"15,29,165.33"
POLYMED,Poly Medicure Limited,"15,25,166.63"
VINATIORGA,Vinati Organics Limited,"15,11,512.83"
INTELLECT,Intellect Design Arena Limited,"15,00,383.06"
JAIBALAJI,Jai Balaji Industries Limited,"14,94,203.53"
J&KBANK,The Jammu & Kashmir Bank Limited,"14,77,786.87"
KARURVYSYA,Karur Vysya Bank Limited,"14,69,141.23"
BLUEDART,Blue Dart Express Limited,"14,67,323.57"
MANAPPURAM,Manappuram Finance Limited,"14,65,601.73"
AFFLE,Affle (India) Limited,"14,60,557.78"
NCC,NCC Limited,"14,58,801.55"
RBLBANK,RBL Bank Limited,"14,54,055.02"
TTML,Tata Teleservices (Maharashtra) Limited,"14,46,646.52"
BASF,BASF India Limited,"14,44,463.45"
VGUARD,V-Guard Industries Limited,"14,38,542.10"
CAMS,Computer Age Management Services Limited,"14,32,841.35"
GESHIP,The Great Eastern Shipping Company Limited,"14,29,456.20"
CENTURYPLY,Century Plyboards (India) Limited,"14,22,018.22"
CLEAN,Clean Science and Technology Limited,"14,12,426.37"
JINDALSAW,Jindal Saw Limited,"13,83,576.06"
FSL,Firstsource Solutions Limited,"13,77,602.37"
ZENSARTECH,Zensar Technologies Limited,"13,74,691.29"
SOBHA,Sobha Limited,"13,74,079.30"
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,"13,70,230.86"
DATAPATTNS,Data Patterns (India) Limited,"13,55,931.73"
CHENNPETRO,Chennai Petroleum Corporation Limited,"13,50,328.58"
WELCORP,Welspun Corp Limited,"13,48,631.18"
MGL,Mahanagar Gas Limited,"13,47,378.28"
KSB,Ksb Limited,"13,42,155.66"
WELSPUNLIV,Welspun Living Limited,"13,37,208.47"
