Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
PYRAMID,Pyramid Technoplast Limited,"53,282.78"
REMSONSIND,Remsons Industries Limited,"52,734.29"
UFO,UFO Moviez India Limited,"51,872.43"
ACCENTMIC,Accent Microcell Limited,"51,713.17"
PTL,PTL Enterprises Limited,"51,693.22"
INDOBORAX,Indo Borax & Chemicals Limited,"51,648.86"
MOLDTECH,Mold-Tek Technologies Limited,"51,600.76"
MAZDA,Mazda Limited,"51,584.40"
MINDTECK,Mindteck (India) Limited,"51,542.67"
COOLCAPS,Cool Caps Industries Limited,"51,442.00"
ALLETEC,All E Technologies Limited,"50,778.26"
20MICRONS,20 Microns Limited,"50,706.70"
VIKASECO,Vikas EcoTech Limited,"50,674.99"
ORIENTBELL,Orient Bell Limited,"50,647.71"
DONEAR,Donear Industries Limited,"50,622.00"
CAREERP,Career Point Limited,"50,467.21"
INTLCONV,International Conveyors Limited,"50,386.31"
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,"50,206.08"
PRITIKAUTO,Pritika Auto Industries Limited,"50,199.24"
DIAMINESQ,Diamines & Chemicals Limited,"49,590.15"
SILINV,SIL Investments Limited,"49,583.33"
BANSWRAS,Banswara Syntex Limited,"49,345.55"
SADBHAV,Sadbhav Engineering Limited,"49,069.25"
APCL,Anjani Portland Cement Limited,"49,041.17"
NAHARINDUS,Nahar Industrial Enterprises Limited,"49,038.33"
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,"48,818.59"
GEEKAYWIRE,Geekay Wires Limited,"48,732.45"
SGIL,Synergy Green Industries Limited,"48,691.98"
TIRUPATI,Shree Tirupati Balajee FIBC Limited,"48,624.19"
MEDICAMEQ,Medicamen Biotech Limited,"48,567.57"
MEGATHERM,Megatherm Induction Limited,"48,543.14"
TPLPLASTEH,TPL Plastech Limited,"48,439.86"
RSSOFTWARE,R. S. Software (India) Limited,"48,421.62"
RBMINFRA,Rbm Infracon Limited,"48,375.37"
WANBURY,Wanbury Limited,"47,890.29"
GENUSPAPER,Genus Paper & Boards Limited,"47,825.42"
KANORICHEM,Kanoria Chemicals & Industries Limited,"47,691.27"
VSTL,Vibhor Steel Tubes Limited,"47,519.88"
LIBERTSHOE,Liberty Shoes Limited,"47,141.16"
GLOBAL,Global Education Limited,"46,859.92"
BRNL,Bharat Road Network Limited,"46,844.10"
NOVAAGRI,Nova Agritech Limited,"46,768.77"
TVSELECT,TVS Electronics Limited,"46,737.70"
VINSYS,Vinsys IT Services India Limited,"46,668.47"
NDL,Nandan Denim Limited,"46,559.54"
KRITINUT,Kriti Nutrients Limited,"46,420.91"
NAHARCAP,Nahar Capital and Financial Services Limited,"46,395.26"
CLEDUCATE,CL Educate Limited,"46,295.87"
ZIMLAB,Zim Laboratories Limited,"46,265.16"
SHIVAMAUTO,Shivam Autotech Limited,"45,405.56"
SYSTANGO,Systango Technologies Limited,"45,326.59"
UNIDT,United Drilling Tools Limited,"45,296.27"
SARLAPOLY,Sarla Performance Fibers Limited,"44,799.36"
WTICAB,Wise Travel India Limited,"44,659.10"
KRITIKA,Kritika Wires Limited,"44,601.90"
TRF,TRF Limited,"44,578.87"
AUTOIND,Autoline Industries Limited,"44,534.90"
MUTHOOTCAP,Muthoot Capital Services Limited,"44,161.63"
PURVFLEXI,Purv Flexipack Limited,"44,053.28"
NBIFIN,N. B. I. Industrial Finance Company Limited,"43,968.23"
AYMSYNTEX,AYM Syntex Limited,"43,947.94"
MIRCELECTR,MIRC Electronics Limited,"43,881.00"
NAHARPOLY,Nahar Poly Films Limited,"43,877.27"
IITL,Industrial Investment Trust Limited,"43,829.72"
GOLDTECH,AION-TECH SOLUTIONS LIMITED,"43,694.44"
VENUSREM,Venus Remedies Limited,"43,556.33"
KRISHNADEF,Krishna Defence and Allied Industries Limited,"43,403.97"
WINDMACHIN,Windsor Machines Limited,"43,374.44"
APS,Australian Premium Solar (India) Limited,"43,358.91"
APOLSINHOT,Apollo Sindoori Hotels Limited,"43,343.47"
BPL,BPL Limited,"42,951.73"
CYBERTECH,Cybertech Systems And Software Limited,"42,941.27"
KOTARISUG,Kothari Sugars And Chemicals Limited,"42,646.17"
IL&FSENGG,IL&FS Engineering and Construction Company Limited,"42,548.79"
SHIVAUM,Shiv Aum Steels Limited,"42,433.25"
ESSARSHPNG,Essar Shipping Limited,"42,430.09"
CELLECOR,Cellecor Gadgets Limited,"42,103.30"
PROZONER,Prozone Realty Limited,"42,042.09"
AARTISURF,Aarti Surfactants Limited,"41,915.61"
LAL,Lorenzini Apparels Limited,"41,915.20"
CINELINE,Cineline India Limited,"41,753.65"
TECHLABS,Trident Techlabs Limited,"41,474.55"
FELIX,Felix Industries Limited,"41,435.19"
NIPPOBATRY,Indo-National Limited,"41,370.00"
PREMIERPOL,Premier Polyfilm Limited,"41,006.68"
VARDHACRLC,Vardhman Acrylics Limited,"40,985.51"
RPPINFRA,R.P.P. Infra Projects Limited,"40,843.28"
HIGREEN,Hi-Green Carbon Limited,"40,833.66"
SURANI,Surani Steel Tubes Limited,"40,660.82"
NILAINFRA,Nila Infrastructures Limited,"40,570.59"
KAYA,Kaya Limited,"40,492.15"
SJLOGISTIC,S J Logistics (India) Limited,"40,444.14"
CRAYONS,Crayons Advertising Limited,"40,248.43"
NITCO,Nitco Limited,"40,205.09"
EUROBOND,Euro Panel Products Limited,"40,082.00"
MEDICO,Medico Remedies Limited,"39,915.30"
ALANKIT,Alankit Limited,"39,859.06"
EMAMIREAL,Emami Realty Limited,"39,755.01"
SAAKSHI,Saakshi Medtech and Panels Limited,"39,602.41"
SEJALLTD,Sejal Glass Limited,"39,253.65"
SHEMAROO,Shemaroo Entertainment Limited,"38,906.45"
BEWLTD,BEW Engineering Limited,"38,780.97"
IFBAGRO,IFB Agro Industries Limited,"38,718.95"
DICIND,DIC India Limited,"38,583.83"
PRECOT,Precot Limited,"38,520.00"
ASAHISONG,Asahi Songwon Colors Limited,"38,255.56"
ORBTEXP,Orbit Exports Limited,"38,170.56"
MODISONLTD,MODISON LIMITED,"37,771.80"
AURUM,Aurum PropTech Limited,"37,759.51"
KDL,Kore Digital Limited,"37,757.28"
EXXARO,Exxaro Tiles Limited,"37,582.50"
KARNIKA,Karnika Industries Limited,"37,409.29"
SAHYADRI,Sahyadri Industries Limited,"37,277.62"
SKP,SKP Bearing Industries Limited,"37,267.00"
KCPSUGIND,KCP Sugar and Industries Corporation Limited,"37,133.60"
MKPL,M K Proteins Limited,"36,974.14"
MANAKSTEEL,Manaksia Steels Limited,"36,830.14"
UNIVPHOTO,Universus Photo Imagings Limited,"36,665.65"
SCPL,Sheetal Cool Products Limited,"36,645.00"
SIGMA,Sigma Solve Limited,"36,593.03"
IZMO,IZMO Limited,"36,359.50"
SINTERCOM,Sintercom India Limited,"36,322.96"
FOCE,Foce India Limited,"36,207.65"
PODDARMENT,Poddar Pigments Limited,"35,856.50"
PLAZACABLE,Plaza Wires Limited,"35,657.94"
DCMNVL,DCM Nouvelle Limited,"35,506.40"
SHYAMCENT,Shyam Century Ferrous Limited,"35,432.89"
SAKHTISUG,Sakthi Sugars Limited,"35,417.01"
ESFL,Essen Speciality Films Limited,"35,395.63"
ATMASTCO,Atmastco Limited,"35,185.10"
KORE,Jay Jalaram Technologies Limited,"35,159.67"
LYKALABS,Lyka Labs Limited,"35,108.49"
STARPAPER,Star Paper Mills Limited,"35,040.75"
SRGHFL,SRG Housing Finance Limited,"34,794.50"
HINDMOTORS,Hindustan Motors Limited,"34,637.44"
PONNIERODE,Ponni Sugars (Erode) Limited,"34,569.94"
ASHIMASYN,Ashima Limited,"34,498.81"
KOTHARIPRO,Kothari Products Limited,"34,335.37"
GOKUL,Gokul Refoils and Solvent Limited,"34,202.77"
HITECHCORP,Hitech Corporation Limited,"34,076.59"
DIGIKORE,Digikore Studios Limited,"34,016.64"
KNAGRI,KN Agri Resources Limited,"33,998.52"
URAVI,Uravi T and Wedge Lamps Limited,"33,968.00"
LAWSIKHO,Addictive Learning Technology Limited,"33,704.77"
GOLDSTAR,Goldstar Power Limited,"33,698.70"
TCL,Thaai Casting Limited,"33,607.31"
RUCHIRA,Ruchira Papers Limited,"33,411.46"
MAHEPC,Mahindra EPC Irrigation Limited,"33,327.89"
PROV,Proventus Agrocom Limited,"33,286.56"
OSIAHYPER,Osia Hyper Retail Limited,"33,192.82"
MAWANASUG,Mawana Sugars Limited,"33,171.10"
RHL,Robust Hotels Limited,"33,156.83"
NATHBIOGEN,Nath Bio-Genes (India) Limited,"33,076.46"
EIFFL,Euro India Fresh Foods Limited,"32,711.20"
SARTELE,Sar Televenture Limited,"32,145.00"
VIPULLTD,Vipul Limited,"32,095.85"
ESSENTIA,Integra Essentia Limited,"31,992.31"
MWL,Mangalam Worldwide Limited,"31,973.38"
UCAL,UCAL LIMITED,"31,954.19"
PASUPTAC,Pasupati Acrylon Limited,"31,909.66"
DRONE,Drone Destination Limited,"31,869.45"
INFINIUM,Infinium Pharmachem Limited,"31,867.91"
COASTCORP,Coastal Corporation Limited,"31,864.14"
MOS,Mos Utility Limited,"31,767.94"
BIL,Bhartiya International Limited,"31,756.68"
INDTERRAIN,Indian Terrain Fashions Limited,"31,557.83"
ARIES,Aries Agro Limited,"31,496.51"
SHREERAMA,Shree Rama Multi-Tech Limited,"31,431.72"
DYNPRO,Dynemic Products Limited,"31,333.95"
SHERA,Shera Energy Limited,"31,231.43"
MHLXMIRU,Mahalaxmi Rubtech Limited,"30,920.93"
NDLVENTURE,NDL Ventures Limited,"30,910.55"
GULFPETRO,GP Petroleums Limited,"30,769.08"
TAKE,Take Solutions Limited,"30,696.31"
EQUIPPP,Equippp Social Impact Technologies Limited,"30,567.73"
SMLT,Sarthak Metals Limited,"30,521.30"
HARRMALAYA,Harrisons  Malayalam Limited,"30,432.96"
UMAEXPORTS,Uma Exports Limited,"30,411.94"
LANCORHOL,Lancor Holdings Limited,"30,375.00"
PROPEQUITY,P. E. Analytics Limited,"30,136.05"
SOFTTECH,Softtech Engineers Limited,"30,077.05"
MANOMAY,Manomay Tex India Limited,"30,024.07"
REPL,Rudrabhishek Enterprises Limited,"29,855.11"
RANASUG,Rana Sugars Limited,"29,792.16"
NEWJAISA,Newjaisa Technologies Limited,"29,753.62"
SHREYANIND,Shreyans Industries Limited,"29,398.86"
IVC,IL&FS Investment Managers Limited,"29,362.06"
RAJTV,Raj Television Network Limited,"29,279.13"
VIPCLOTHNG,VIP Clothing Limited,"29,239.17"
ABINFRA,A B Infrabuild Limited,"29,183.52"
TIPSFILMS,Tips Films Limited,"29,153.54"
SOUTHWEST,South West Pinnacle Exploration Limited,"29,060.35"
ABAN,Aban Offshore Limited,"29,036.75"
AIRAN,Airan Limited,"29,004.64"
SUPREMEPWR,Supreme Power Equipment Limited,"29,002.21"
VIRINCHI,Virinchi Limited,"28,846.52"
GOYALSALT,Goyal Salt Limited,"28,729.90"
TRIGYN,Trigyn Technologies Limited,"28,723.09"
EMKAY,Emkay Global Financial Services Limited,"28,517.85"
INDOTHAI,Indo Thai Securities Limited,"28,495.00"
RAJMET,Rajnandini Metal Limited,"28,477.44"
RAMAPHO,Rama Phosphates Limited,"28,415.30"
MGEL,Mangalam Global Enterprise Limited,"28,331.48"
LORDSCHLO,Lords Chloro Alkali Limited,"28,247.79"
SWARAJ,Swaraj Suiting Limited,"28,076.21"
RPPL,Rajshree Polypack Limited,"28,044.33"
ALMONDZ,Almondz Global Securities Limited,"27,922.58"
TEMBO,Tembo Global Industries Limited,"27,903.71"
ZODIACLOTH,Zodiac Clothing Company Limited,"27,774.29"
ASCOM,Ascom Leasing & Investments Limited,"27,645.46"
PILITA,PIL ITALICA LIFESTYLE LIMITED,"27,377.50"
AARON,Aaron Industries Limited,"27,308.97"
JAYSREETEA,Jayshree Tea & Industries Limited,"27,043.77"
KRISHCA,Krishca Strapping Solutions Limited,"26,867.82"
INTENTECH,Intense Technologies Limited,"26,858.50"
RUCHINFRA,Ruchi Infrastructure Limited,"26,790.99"
MURUDCERA,Murudeshwar Ceramics Limited,"26,770.60"
DRCSYSTEMS,DRC Systems India Limited,"26,758.12"
SUNDRMBRAK,Sundaram Brake Linings Limited,"26,735.44"
VISHWARAJ,Vishwaraj Sugar Industries Limited,"26,664.76"
USK,Udayshivakumar Infra Limited,"26,654.46"
HINDCON,Hindcon Chemicals Limited,"26,644.72"
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,"26,617.77"
PAR,Par Drugs And Chemicals Limited,"26,510.34"
MEGASTAR,Megastar Foods Limited,"26,444.78"
ZEAL,Zeal Global Services Limited,"26,273.45"
BHAGYANGR,Bhagyanagar India Limited,"26,155.91"
KONSTELEC,Konstelec Engineers Limited,"26,107.90"
WELINV,Welspun Investments and Commercials Limited,"26,050.93"
MARALOVER,Maral Overseas Limited,"26,025.52"
MAGNUM,Magnum Ventures Limited,"25,998.31"
GINNIFILA,Ginni Filaments Limited,"25,951.97"
SADHAV,Sadhav Shipping Limited,"25,863.42"
TARACHAND,Tara Chand InfraLogistic Solutions Limited,"25,814.59"
KMSUGAR,K.M.Sugar Mills Limited,"25,806.05"
ASIANHOTNR,Asian Hotels (North) Limited,"25,678.26"
SVLL,Shree Vasu Logistics Limited,"25,569.18"
GUJAPOLLO,Gujarat Apollo Industries Limited,"25,558.80"
NURECA,Nureca Limited,"25,530.45"
STARTECK,Starteck Finance Limited,"25,519.10"
FROG,Frog Cellsat Limited,"25,422.43"
PRAXIS,Praxis Home Retail Limited,"25,419.29"
SHREEKARNI,Shree Karni Fabcom Limited,"25,363.73"
COMSYN,Commercial Syn Bags Limited,"25,189.86"
ABCOTS,A B Cotspin India Limited,"25,154.14"
BGRENERGY,BGR Energy Systems Limited,"25,112.22"
RKEC,RKEC Projects Limited,"25,058.18"
MCLEODRUSS,Mcleod Russel India Limited,"24,964.92"
CHAVDA,Chavda Infra Limited,"24,939.54"
LOYALTEX,Loyal Textile Mills Limited,"24,785.43"
KAPSTON,Kapston Services Limited,"24,584.13"
BROOKS,Brooks Laboratories Limited,"24,566.95"
THOMASCOTT,Thomas Scott (India) Limited,"24,544.79"
BASML,Bannari Amman Spinning Mills Limited,"24,510.23"
RVHL,Ravinder Heights Limited,"24,500.30"
PPAP,PPAP Automotive Limited,"24,451.00"
DELPHIFX,DELPHI WORLD MONEY LIMITED,"24,342.26"
ELGIRUBCO,Elgi Rubber Company Limited,"24,324.30"
SADBHIN,Sadbhav Infrastructure Project Limited,"24,303.54"
DCI,Dc Infotech And Communication Limited,"23,998.00"
ANMOL,Anmol India Limited,"23,790.11"
A2ZINFRA,A2Z Infra Engineering Limited,"23,776.18"
AHLEAST,Asian Hotels (East) Limited,"23,534.00"
VETO,Veto Switchgears And Cables Limited,"23,482.72"
MANORG,Mangalam Organics Limited,"23,333.82"
SAH,Sah Polymers Limited,"23,113.22"
ROXHITECH,Rox Hi Tech Limited,"23,087.55"
AIROLAM,Airo Lam limited,"23,028.07"
BAIDFIN,Baid Finserv Limited,"22,752.94"
SELMC,SEL Manufacturing Company Limited,"22,746.97"
DRSDILIP,DRS Dilip Roadlines Limited,"22,744.23"
TEXMOPIPES,Texmo Pipes and Products Limited,"22,553.14"
TTL,T T Limited,"22,497.71"
GIRRESORTS,GIR Natureview Resorts Limited,"22,472.06"
MANAKCOAT,Manaksia Coated Metals & Industries Limited,"22,429.25"
JMA,Jullundur Motor Agency (Delhi) Limited,"22,407.07"
CORDSCABLE,Cords Cable Industries Limited,"22,377.99"
DEVIT,Dev Information Technology Limited,"22,355.48"
IRIS,Iris Business Services Limited,"22,187.89"
CROWN,Crown Lifters Limited,"22,157.69"
RANEENGINE,Rane Engine Valve Limited,"21,974.66"
OMAXAUTO,Omax Autos Limited,"21,926.86"
TREJHARA,TREJHARA SOLUTIONS LIMITED,"21,890.58"
NILASPACES,Nila Spaces Limited,"21,860.85"
BYKE,The Byke Hospitality Ltd,"21,773.11"
MODIRUBBER,Modi Rubber Limited,"21,760.22"
ANLON,Anlon Technology Solutions Limited,"21,747.40"
PRITI,Priti International Limited,"21,725.86"
PARAGON,Paragon Fine and Speciality Chemical Limited,"21,698.69"
NECCLTD,North Eastern Carrying Corporation Limited,"21,662.12"
CCHHL,Country Club Hospitality & Holidays Limited,"21,659.08"
SUPERHOUSE,Superhouse Limited,"21,647.59"
RAMANEWS,Shree Rama Newsprint Limited,"21,611.98"
HILTON,Hilton Metal Forging Limited,"21,420.00"
NDGL,Naga Dhunseri Group Limited,"21,385.00"
GSS,GSS Infotech Limited,"21,382.76"
LGBFORGE,LGB Forge Limited,"21,200.02"
INDOWIND,Indowind Energy Limited,"21,144.95"
MEP,MEP Infrastructure Developers Limited,"21,096.30"
BTML,Bodhi Tree Multimedia Limited,"21,037.02"
VMARCIND,V Marc India Limited,"21,019.80"
UNITEDPOLY,United Polyfab Gujarat Limited,"21,000.67"
RMDRIP,R M Drip and Sprinklers Systems Limited,"20,959.81"
ALPHAGEO,Alphageo (India) Limited,"20,895.53"
QMSMEDI,QMS Medical Allied Services Limited,"20,893.43"
USASEEDS,Upsurge Seeds Of Agriculture Limited,"20,826.41"
UNIHEALTH,Unihealth Consultancy Limited,"20,789.94"
ROCKINGDCE,Rockingdeals Circular Economy Limited,"20,680.82"
ESCONET,Esconet Technologies Limited,"20,591.76"
SMSLIFE,SMS Lifesciences India Limited,"20,441.96"
VARDMNPOLY,Vardhman Polytex Limited,"20,399.99"
AVONMORE,Avonmore Capital & Management Services Limited,"20,399.04"
LAGNAM,Lagnam Spintex Limited,"20,398.86"
AKSHARCHEM,AksharChem India Limited,"20,347.84"
MODTHREAD,Modern Threads (India) Limited,"20,326.08"
SSFL,Srivari Spices And Foods Limited,"20,283.28"
IEL,Indiabulls Enterprises Limited,"20,230.37"
BAHETI,Baheti Recycling Industries Limited,"20,063.11"
ZEELEARN,Zee Learn Limited,"20,054.70"
GENCON,Generic Engineering Construction and Projects Limited,"20,047.69"
SURANAT&P,Surana Telecom and Power Limited,"19,956.71"
DELAPLEX,Delaplex Limited,"19,827.92"
ASPINWALL,Aspinwall and Company Limited,"19,670.81"
DTIL,Dhunseri Tea & Industries Limited,"19,559.58"
DENEERS,De Neers Tools Limited,"19,450.46"
KCEIL,Kay Cee Energy & Infra Limited,"19,393.72"
AVPINFRA,AVP Infracon Limited,"19,358.88"
KANPRPLA,Kanpur Plastipack Limited,"19,321.96"
CMNL,Chaman Metallics Limited,"19,319.88"
RAJSREESUG,Rajshree Sugars & Chemicals Limited,"19,251.79"
KBCGLOBAL,KBC Global Limited,"19,197.78"
EFORCE,Electro Force (India) Limited,"19,188.00"
AURDIS,Aurangabad Distillery Limited,"19,171.60"
INDBANK,Indbank Merchant Banking Services Limited,"19,149.19"
TARMAT,Tarmat Limited,"18,969.69"
INM,Interiors & More Limited,"18,628.75"
MAXPOSURE,Maxposure Limited,"18,613.47"
INFOLLION,Infollion Research Services Limited,"18,553.24"
BAFNAPH,Bafna Pharmaceuticals Limited,"18,534.74"
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,"18,501.26"
EFACTOR,E Factor Experiences Limited,"18,493.48"
CLOUD,Varanium Cloud Limited,"18,488.32"
COMPUSOFT,Compucom Software Limited,"18,475.73"
DJML,DJ Mediaprint & Logistics Limited,"18,466.88"
DUCON,Ducon Infratechnologies Limited,"18,455.77"
ATLANTAA,ATLANTAA LIMITED,"18,419.00"
PRATHAM,Pratham EPC Projects Limited,"18,381.60"
MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,"18,293.40"
MAHESHWARI,Maheshwari Logistics Limited,"18,217.08"
SHIVATEX,Shiva Texyarn Limited,"18,199.65"
SIGIND,Signet Industries Limited,"18,192.07"
DHRUV,Dhruv Consultancy Services Limited,"18,022.46"
SECL,Salasar Exteriors and Contour Limited,"18,015.96"
NITIRAJ,Nitiraj Engineers Limited,"17,780.36"
INVENTURE,Inventure Growth & Securities Limited,"17,640.00"
ATAM,Atam Valves Limited,"17,636.26"
SPECTSTM,Spectrum Talent Management Limited,"17,631.58"
AARVI,Aarvi Encon Limited,"17,622.53"
WEIZMANIND,Weizmann Limited,"17,579.72"
SALSTEEL,S.A.L. Steel Limited,"17,545.62"
ALPA,Alpa Laboratories Limited,"17,516.30"
GVPTECH,GVP Infotech Limited,"17,507.62"
SHREEOSFM,Shree OSFM E-Mobility Limited,"17,469.33"
SONAMAC,Sona Machinery Limited,"17,443.20"
GLOBALVECT,Global Vectra Helicorp Limited,"17,262.00"
MANAKALUCO,Manaksia Aluminium Company Limited,"17,235.46"
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,"17,209.06"
BLBLIMITED,BLB Limited,"17,181.21"
EROSMEDIA,Eros International Media Limited,"17,120.67"
SUPREMEINF,Supreme Infrastructure India Limited,"17,089.42"
SMARTLINK,Smartlink Holdings Limited,"17,042.29"
VITAL,Vital Chemtech Limited,"17,005.28"
VISESHINFO,Visesh Infotecnics Limited,"16,984.96"
CADSYS,Cadsys (India) Limited,"16,948.15"
XELPMOC,Xelpmoc Design And Tech Limited,"16,903.13"
SWASTIK,Swastik Pipe Limited,"16,819.58"
PRAENG,Prajay Engineers Syndicate Limited,"16,819.56"
MUKTAARTS,Mukta Arts Limited,"16,803.39"
PARIN,Parin Furniture Limited,"16,732.59"
VIVIANA,Viviana Power Tech Limited,"16,716.00"
UMANGDAIRY,Umang Dairies Limited,"16,601.41"
BSL,BSL Limited,"16,549.81"
MAHASTEEL,Mahamaya Steel Industries Limited,"16,541.22"
ARCHIDPLY,Archidply Industries Limited,"16,458.15"
CTE,Cambridge Technology Enterprises Limited,"16,382.08"
ARSHIYA,Arshiya Limited,"16,335.51"
AARTECH,Aartech Solonics Limited,"16,324.68"
SALONA,Salona Cotspin Limited,"16,308.18"
LOVABLE,Lovable Lingerie Limited,"16,280.00"
CANARYS,Canarys Automations Limited,"16,265.24"
BAWEJA,Baweja Studios Limited,"16,261.83"
URBAN,Urban Enviro Waste Management Limited,"16,194.20"
BAGFILMS,B.A.G Films and Media Limited,"16,116.44"
ISFT,Intrasoft Technologies Limited,"16,109.09"
KLL,Kaushalya Logistics Limited,"16,093.31"
GREENCHEF,Greenchef Appliances Limited,"16,057.57"
IVP,IVP Limited,"15,964.40"
WORTH,Worth Peripherals Limited,"15,892.76"
SONAMLTD,SONAM LIMITED,"15,882.70"
SUMIT,Sumit Woods Limited,"15,859.38"
TIRUPATIFL,Tirupati Forge Limited,"15,827.00"
EMMBI,Emmbi Industries Limited,"15,815.08"
ARVEE,Arvee Laboratories (India) Limited,"15,802.68"
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,"15,791.65"
UNIVASTU,Univastu India Limited,"15,791.11"
LLOYDS,Lloyds Luxuries Limited,"15,750.00"
SURANASOL,Surana Solar Limited,"15,721.51"
SOMICONVEY,Somi Conveyor Beltings Limited,"15,678.72"
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,"15,625.45"
SHIGAN,Shigan Quantum Technologies Limited,"15,579.48"
BHARATGEAR,Bharat Gears Limited,"15,554.67"
ONDOOR,On Door Concepts Limited,"15,539.33"
OILCOUNTUB,Oil Country Tubular Limited,"15,479.19"
SPLIL,SPL Industries Limited,"15,457.00"
CAPTRUST,Capital Trust Limited,"15,445.18"
FIDEL,Fidel Softech Limited,"15,407.50"
MDL,Marvel Decor Limited,"15,336.13"
3RDROCK,3rd Rock Multimedia Limited,"15,316.15"
VEEKAYEM,Veekayem Fashion and Apparels Limited,"15,312.15"
DYNAMIC,Dynamic Services & Security Limited,"15,292.64"
GILLANDERS,Gillanders Arbuthnot & Company Limited,"15,185.08"
CENTEXT,Century Extrusions Limited,"15,160.00"
SHRITECH,Shri Techtex Limited,"15,144.65"
TOTAL,Total Transport Systems Limited,"15,143.23"
MITCON,MITCON Consultancy & Engineering Services Limited,"15,113.24"
ARHAM,Arham Technologies Limited,"15,101.10"
TOUCHWOOD,Touchwood Entertainment Limited,"15,037.25"
JOCIL,Jocil Limited,"15,013.58"
VAISHALI,Vaishali Pharma Limited,"15,012.26"
FCONSUMER,Future Consumer Limited,"14,977.76"
DIGIDRIVE,Digidrive Distributors Limited,"14,962.02"
KEL,Kundan Edifice Limited,"14,961.17"
CORALFINAC,Coral India Finance & Housing Limited,"14,911.82"
ACCURACY,Accuracy Shipping Limited,"14,905.44"
KALYANIFRG,Kalyani Forge Limited,"14,850.32"
NIRAJ,Niraj Cement Structurals Limited,"14,837.38"
SRIVASAVI,Srivasavi Adhesive Tapes Limited,"14,812.00"
IPSL,Integrated Personnel Services Limited,"14,755.33"
GTL,GTL Limited,"14,707.25"
RELCHEMQ,Reliance Chemotex Industries Limited,"14,638.28"
INDIANCARD,Indian Card Clothing Company Limited,"14,609.21"
MANGALAM,Mangalam Drugs And Organics Limited,"14,577.82"
PALREDTEC,Palred Technologies Limited,"14,544.52"
SIL,Standard Industries Limited,"14,538.34"
LEMERITE,Le Merite Exports Limited,"14,464.30"
BALPHARMA,Bal Pharma Limited,"14,413.59"
KOHINOOR,Kohinoor Foods Limited,"14,365.22"
AKANKSHA,Akanksha Power and Infrastructure Limited,"14,342.59"
RHFL,Reliance Home Finance Limited,"14,294.39"
LAMBODHARA,Lambodhara Textiles Limited,"14,248.44"
CUBEXTUB,Cubex Tubings Limited,"14,218.74"
GOLDKART,Goldkart Jewels Limited,"14,217.19"
AHLADA,Ahlada Engineers Limited,"14,142.03"
BEARDSELL,Beardsell Limited,"14,019.85"
IL&FSTRANS,IL&FS Transportation Networks Limited,"13,980.80"
HPIL,Hindprakash Industries Limited,"13,931.82"
PANSARI,Pansari Developers Limited,"13,922.55"
AMJLAND,Amj Land Holdings Limited,"13,878.50"
NOIDATOLL,Noida Toll Bridge Company Limited,"13,871.53"
DBSTOCKBRO,DB (International) Stock Brokers Limited,"13,825.00"
HOMESFY,Homesfy Realty Limited,"13,748.40"
S&SPOWER,S&S Power Switchgears Limited,"13,714.40"
GRCL,Gayatri Rubbers And Chemicals Limited,"13,662.18"
PULZ,Pulz Electronics Limited,"13,630.00"
AKI,AKI India Limited,"13,453.03"
AGRITECH,Agri-Tech (India) Limited,"13,448.16"
DCM,DCM  Limited,"13,447.98"
PRAKASHSTL,Prakash Steelage Limited,"13,387.53"
SOTAC,Sotac Pharmaceuticals Limited,"13,370.50"
SHRADHA,Shradha Infraprojects Limited,"13,303.85"
MADHUSUDAN,Madhusudan Masala Limited,"13,287.00"
JAINAM,Jainam Ferro Alloys (I) Limited,"13,285.99"
FONEBOX,Fonebox Retail Limited,"13,271.31"
SUNDARAM,Sundaram Multi Pap Limited,"13,268.58"
MRO-TEK,MRO-TEK Realty Limited,"13,266.07"
KREBSBIO,Krebs Biochemicals and Industries Limited,"13,248.98"
KHFM,Khfm Hospitality And Facility Management Services Limited,"13,227.39"
PASHUPATI,Pashupati Cotspin Limited,"13,174.81"
DUCOL,Ducol Organics And Colours Limited,"13,100.54"
AKSHOPTFBR,Aksh Optifibre Limited,"13,097.19"
WIPL,The Western India Plywoods Limited,"12,985.63"
PATINTLOG,Patel Integrated Logistics Limited,"12,949.44"
IBLFL,IBL Finance Limited,"12,859.94"
VR,V R Infraspace Limited,"12,756.12"
GICL,Globe International Carriers Limited,"12,708.95"
JHS,JHS Svendgaard Laboratories Limited,"12,661.08"
FLEXITUFF,Flexituff Ventures International Limited,"12,567.71"
AUSOMENT,Ausom Enterprise Limited,"12,547.29"
DANGEE,Dangee Dums Limited,"12,471.98"
DGCONTENT,Digicontent Limited,"12,452.03"
ARTNIRMAN,Art Nirman Limited,"12,428.09"
SHAH,Shah Metacorp Limited,"12,362.82"
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,"12,361.92"
